From,To,Length(m),Azimuth(deg),Clino(deg)
0@Lekinka,cible_A@Lekinka,1.89,285.39,9.50
0@Lekinka,-,1.81,288.09,-32.20
0@Lekinka,-,2.06,283.69,8.70
0@Lekinka,-,2.01,269.49,79.60
0@Lekinka,-,0.21,110.79,-6.40
0@Lekinka,-,0.95,110.39,-88.40
0@Lekinka,-,11.34,338.19,2.50
0@Lekinka,-,11.39,336.79,2.70
0@Lekinka,-,11.41,338.49,2.40
0@Lekinka,1@Lekinka,11.36,337.89,2.60
0@Lekinka,-,11.38,336.69,2.60
1@Lekinka,-,11.38,159.19,-2.20
1@Lekinka,-,11.38,157.09,-2.20
1@Lekinka,0@Lekinka,11.38,158.19,-2.10
1@Lekinka,-,1.35,111.79,75.40
1@Lekinka,-,3.60,112.29,61.80
1@Lekinka,-,2.11,120.39,-0.80
1@Lekinka,-,2.01,260.89,-83.60
1@Lekinka,-,0.39,137.69,-54.60
1@Lekinka,2@Lekinka,8.39,51.59,-4.90
2@Lekinka,1@Lekinka,8.48,231.29,5.30
2@Lekinka,-,3.20,158.89,58.90
2@Lekinka,-,1.46,212.99,60.30
2@Lekinka,-,0.73,318.39,-5.20
2@Lekinka,-,1.67,308.49,-46.80
2@Lekinka,-,1.33,289.59,-77.90
2@Lekinka,3@Lekinka,2.76,250.09,-5.60
3@Lekinka,2@Lekinka,2.75,70.49,5.90
3@Lekinka,cible_B@Lekinka,2.79,165.09,16.40
2@Lekinka,4@Lekinka,7.93,39.09,-1.90
4@Lekinka,2@Lekinka,7.93,218.59,1.90
4@Lekinka,-,3.69,67.79,80.60
4@Lekinka,-,2.03,225.89,71.70
4@Lekinka,-,1.96,196.09,12.00
4@Lekinka,-,1.67,284.39,8.90
4@Lekinka,-,2.34,323.29,45.40
4@Lekinka,-,2.11,225.49,-45.50
4@Lekinka,-,1.43,234.99,-62.50
4@Lekinka,5@Lekinka,11.60,141.99,-4.20
5@Lekinka,4@Lekinka,11.61,320.49,4.60
5@Lekinka,-,2.92,240.89,81.70
5@Lekinka,-,3.34,222.29,48.00
5@Lekinka,-,2.12,222.19,3.50
5@Lekinka,-,2.21,221.69,-22.00
5@Lekinka,-,0.87,288.19,-81.70
5@Lekinka,-,2.99,41.09,64.20
5@Lekinka,-,1.08,36.89,20.30
5@Lekinka,-,0.50,10.19,-26.50
5@Lekinka,cible_C@Lekinka,2.18,249.19,6.40
5@Lekinka,6@Lekinka,4.56,134.49,2.50
6@Lekinka,5@Lekinka,4.58,312.59,-2.20
6@Lekinka,-,1.39,354.99,-35.20
6@Lekinka,-,2.09,0.09,29.10
6@Lekinka,-,3.82,0.19,51.50
6@Lekinka,-,4.93,4.69,62.20
6@Lekinka,-,0.31,174.89,88.30
6@Lekinka,-,1.17,328.39,-72.20
6@Lekinka,7@Lekinka,7.85,55.09,-6.00
7@Lekinka,6@Lekinka,7.86,234.69,6.40
7@Lekinka,-,4.38,151.69,87.50
7@Lekinka,-,1.66,309.39,23.30
7@Lekinka,-,1.78,303.49,-11.10
7@Lekinka,-,0.50,227.39,-58.80
7@Lekinka,-,2.10,184.69,22.00
7@Lekinka,-,3.77,173.09,65.90
7@Lekinka,-,4.05,108.89,82.20
7@Lekinka,-,5.08,23.89,31.00
7@Lekinka,-,4.44,115.19,82.00
7@Lekinka,8@Lekinka,9.76,144.09,6.20
8@Lekinka,7@Lekinka,9.78,323.69,-5.70
8@Lekinka,-,9.79,322.39,-5.40
8@Lekinka,-,1.57,347.19,-87.60
8@Lekinka,-,0.89,50.49,5.90
8@Lekinka,-,1.72,237.09,-1.60
8@Lekinka,-,1.89,241.79,50.50
8@Lekinka,-,3.22,314.19,87.50
8@Lekinka,-,2.45,227.09,-17.70
8@Lekinka,cible_D@Lekinka,1.98,174.19,-16.60
8@Lekinka,9@Lekinka,8.63,113.19,-2.30
9@Lekinka,8@Lekinka,8.63,292.29,2.70
9@Lekinka,-,4.97,321.59,74.20
9@Lekinka,-,1.67,331.59,-1.40
9@Lekinka,-,2.45,340.79,54.40
9@Lekinka,-,4.09,6.99,66.70
9@Lekinka,-,1.35,314.59,-87.10
9@Lekinka,-,1.49,329.09,-62.80
9@Lekinka,10@Lekinka,6.68,30.59,-6.70
10@Lekinka,9@Lekinka,6.66,208.79,6.90
10@Lekinka,-,8.70,286.89,83.40
10@Lekinka,-,5.06,290.59,76.50
10@Lekinka,-,3.25,298.19,60.20
10@Lekinka,-,2.43,115.49,-3.90
10@Lekinka,-,3.38,292.59,37.70
10@Lekinka,-,2.37,175.29,-17.60
10@Lekinka,11@Lekinka,13.53,132.39,2.10
11@Lekinka,10@Lekinka,13.52,313.29,-1.90
11@Lekinka,-,7.05,313.99,83.70
11@Lekinka,-,3.47,283.59,79.60
11@Lekinka,-,1.60,256.29,69.80
11@Lekinka,-,0.63,232.19,15.80
11@Lekinka,-,2.01,233.89,-42.80
11@Lekinka,-,2.09,16.39,75.00
11@Lekinka,-,1.68,49.39,17.70
11@Lekinka,-,2.13,45.69,-23.30
11@Lekinka,-,2.46,51.69,-37.60
11@Lekinka,-,7.44,14.59,84.70
11@Lekinka,cible_E@Lekinka,2.54,106.69,-18.20
11@Lekinka,12@Lekinka,12.76,141.69,-4.30
12@Lekinka,11@Lekinka,12.79,321.89,4.60
12@Lekinka,-,0.97,262.49,80.50
12@Lekinka,-,2.12,267.79,69.70
12@Lekinka,-,3.74,285.59,67.10
12@Lekinka,-,2.33,284.29,39.00
12@Lekinka,-,2.09,290.29,3.20
12@Lekinka,-,1.70,284.59,-17.00
12@Lekinka,13@Lekinka,8.03,205.59,4.00
12@Lekinka,-,7.99,204.49,3.80
12@Lekinka,-,8.02,206.39,4.00
13@Lekinka,12@Lekinka,8.03,25.09,-3.60
13@Lekinka,-,2.72,62.59,77.80
13@Lekinka,-,2.52,263.69,80.30
13@Lekinka,-,0.43,291.49,55.70
13@Lekinka,-,2.69,63.29,-27.00
13@Lekinka,-,1.93,58.19,5.30
13@Lekinka,-,1.57,63.99,34.40
13@Lekinka,-,2.10,79.29,62.10
13@Lekinka,-,1.90,81.49,75.20
13@Lekinka,14@Lekinka,6.39,105.39,-6.70
14@Lekinka,13@Lekinka,6.38,285.09,6.90
14@Lekinka,-,1.42,329.79,-20.90
14@Lekinka,-,1.43,330.49,13.90
14@Lekinka,-,2.00,328.09,49.20
14@Lekinka,-,2.42,320.39,70.30
14@Lekinka,-,0.39,14.29,76.90
14@Lekinka,-,2.32,78.29,82.10
14@Lekinka,-,0.59,145.89,56.20
14@Lekinka,cible_F@Lekinka,2.16,249.99,37.20
14@Lekinka,-,2.16,252.49,37.50
14@Lekinka,15@Lekinka,5.12,16.69,0.10
14@Lekinka,-,5.11,14.89,0.20
15@Lekinka,14@Lekinka,5.12,196.59,0.00
15@Lekinka,-,4.28,75.59,88.70
15@Lekinka,-,9.64,61.89,83.10
15@Lekinka,-,8.31,95.69,85.80
15@Lekinka,-,3.77,53.39,73.10
15@Lekinka,-,1.68,89.69,-14.80
15@Lekinka,16@Lekinka,8.50,137.49,5.50
16@Lekinka,15@Lekinka,8.45,316.89,-5.20
16@Lekinka,-,5.06,343.49,77.70
16@Lekinka,-,8.47,304.09,73.90
16@Lekinka,-,5.16,331.09,64.70
16@Lekinka,-,3.11,325.89,53.60
16@Lekinka,-,2.78,358.79,-7.10
16@Lekinka,-,1.95,352.69,-50.90
16@Lekinka,cible_G@Lekinka,1.14,244.69,-46.00
16@Lekinka,17@Lekinka,5.25,48.79,-9.40
17@Lekinka,16@Lekinka,5.25,227.19,9.10
17@Lekinka,-,0.76,338.79,26.40
17@Lekinka,-,1.44,167.49,-21.90
17@Lekinka,-,2.74,163.69,48.70
17@Lekinka,-,3.84,161.79,69.00
17@Lekinka,-,7.79,182.49,75.80
17@Lekinka,-,2.31,192.29,83.80
17@Lekinka,-,0.71,359.49,56.00
17@Lekinka,-,0.58,338.09,14.00
17@Lekinka,-,2.33,166.19,78.40
17@Lekinka,18@Lekinka,3.15,108.99,4.70
18@Lekinka,17@Lekinka,3.14,288.79,-4.70
18@Lekinka,-,1.90,58.59,85.10
18@Lekinka,-,2.56,342.99,81.90
18@Lekinka,-,6.78,322.89,80.70
18@Lekinka,-,5.67,320.19,77.10
18@Lekinka,-,4.51,316.09,70.00
18@Lekinka,-,3.25,322.79,64.80
18@Lekinka,-,2.42,325.79,42.00
18@Lekinka,-,1.94,331.69,-0.80
18@Lekinka,-,2.14,330.59,-27.10
18@Lekinka,-,1.00,299.19,-78.80
18@Lekinka,-,1.21,324.89,-58.30
18@Lekinka,19@Lekinka,5.38,42.09,-2.60
19@Lekinka,18@Lekinka,5.39,221.79,2.70
19@Lekinka,-,5.39,223.49,2.70
19@Lekinka,-,1.65,103.19,82.80
19@Lekinka,-,0.51,22.39,-2.20
19@Lekinka,-,0.78,18.89,-82.20
19@Lekinka,-,2.18,196.59,-23.20
19@Lekinka,-,2.13,196.69,16.50
19@Lekinka,-,3.16,195.29,54.90
19@Lekinka,-,4.16,177.79,72.40
19@Lekinka,-,8.01,158.69,73.60
19@Lekinka,-,5.46,159.79,71.20
19@Lekinka,cible_H@Lekinka,4.27,108.09,0.30
19@Lekinka,20@Lekinka,3.61,119.09,2.60
20@Lekinka,19@Lekinka,3.61,300.89,-2.10
20@Lekinka,-,6.97,34.19,76.90
20@Lekinka,-,4.88,6.69,69.80
20@Lekinka,-,2.80,356.49,57.30
20@Lekinka,-,1.87,342.89,27.00
20@Lekinka,-,2.24,342.29,-21.60
20@Lekinka,-,1.03,316.79,-78.50
20@Lekinka,-,0.63,175.19,39.50
20@Lekinka,-,2.24,159.39,87.10
20@Lekinka,21@Lekinka,7.13,42.69,-0.60
21@Lekinka,20@Lekinka,7.13,222.09,0.90
21@Lekinka,-,0.25,321.39,27.10
21@Lekinka,-,6.94,153.69,80.40
21@Lekinka,-,6.11,149.89,75.60
21@Lekinka,-,3.45,152.69,74.80
21@Lekinka,-,2.07,204.09,84.70
21@Lekinka,-,1.67,162.69,-30.30
21@Lekinka,-,1.40,160.29,18.60
21@Lekinka,-,1.93,163.99,49.70
21@Lekinka,22@Lekinka,11.25,54.69,0.10
22@Lekinka,21@Lekinka,11.27,234.39,0.30
22@Lekinka,-,0.31,340.89,15.60
22@Lekinka,-,2.10,134.99,86.00
22@Lekinka,-,8.32,132.79,86.10
22@Lekinka,-,5.89,148.39,77.60
22@Lekinka,-,4.36,148.09,64.40
22@Lekinka,-,2.13,148.99,57.80
22@Lekinka,-,1.55,153.79,22.50
22@Lekinka,-,1.73,156.79,-33.90
22@Lekinka,-,0.90,95.59,-82.20
22@Lekinka,23@Lekinka,8.96,77.49,-2.90
23@Lekinka,22@Lekinka,8.97,257.29,3.20
23@Lekinka,-,1.52,133.39,75.30
23@Lekinka,-,3.77,304.79,78.80
23@Lekinka,-,7.65,315.29,70.00
23@Lekinka,-,8.72,316.39,68.20
23@Lekinka,-,5.22,315.39,58.70
23@Lekinka,-,3.78,313.69,50.40
23@Lekinka,-,3.24,313.89,40.10
23@Lekinka,-,1.88,314.69,-17.60
23@Lekinka,-,2.06,314.89,3.90
23@Lekinka,-,3.15,316.89,42.00
23@Lekinka,24@Lekinka,11.44,18.89,5.90
24@Lekinka,23@Lekinka,11.41,197.89,-5.60
24@Lekinka,-,3.85,187.29,70.00
24@Lekinka,-,1.57,277.69,41.20
24@Lekinka,-,3.39,171.89,-28.30
24@Lekinka,-,2.64,168.19,-9.70
24@Lekinka,-,2.41,166.49,11.40
24@Lekinka,-,2.98,167.99,37.40
24@Lekinka,-,4.67,171.09,47.30
24@Lekinka,-,4.14,188.69,63.70
24@Lekinka,-,1.95,206.59,64.30
24@Lekinka,cible_8@Lekinka,1.89,221.19,-24.40
24@Lekinka,25@Lekinka,11.54,136.19,-5.80
25@Lekinka,24@Lekinka,11.55,314.39,6.40
25@Lekinka,-,4.37,95.99,85.20
25@Lekinka,-,4.57,61.19,62.20
25@Lekinka,-,4.78,28.19,16.00
25@Lekinka,-,2.44,21.79,-17.50
25@Lekinka,-,0.65,289.09,-78.10
25@Lekinka,-,0.91,222.69,-6.00
25@Lekinka,-,4.31,56.89,74.40
25@Lekinka,-,5.25,3.99,84.00
25@Lekinka,26@Lekinka,5.86,45.69,4.00
26@Lekinka,25@Lekinka,5.86,224.39,-3.70
26@Lekinka,-,4.00,191.09,69.30
26@Lekinka,-,0.76,240.79,77.30
26@Lekinka,-,1.09,166.19,-86.20
26@Lekinka,-,2.01,189.09,-22.70
26@Lekinka,-,1.63,192.69,14.50
26@Lekinka,-,2.20,181.39,33.80
26@Lekinka,-,3.76,184.29,55.20
26@Lekinka,-,3.86,200.09,68.00
26@Lekinka,cible_7@Lekinka,3.66,134.89,11.50
0@Lekinka,27@Lekinka,5.24,201.29,11.20
27@Lekinka,0@Lekinka,5.23,20.39,-11.10
27@Lekinka,-,5.24,21.99,-10.70
27@Lekinka,-,3.57,52.99,-5.80
27@Lekinka,-,3.08,55.59,31.90
27@Lekinka,-,3.02,56.19,45.30
27@Lekinka,-,1.20,51.29,58.80
27@Lekinka,-,1.56,281.09,-83.90
27@Lekinka,-,2.72,249.69,-32.30
27@Lekinka,-,1.76,253.89,-53.10
27@Lekinka,-,5.14,239.89,-1.60
27@Lekinka,-,1.56,196.59,-85.20
27@Lekinka,28@Lekinka,6.86,97.09,7.10
28@Lekinka,27@Lekinka,6.86,276.49,-6.80
28@Lekinka,-,1.48,206.19,67.30
28@Lekinka,-,1.47,211.99,58.10
28@Lekinka,-,1.50,232.69,0.90
28@Lekinka,-,2.37,231.69,-33.70
28@Lekinka,-,1.85,243.89,-74.10
28@Lekinka,-,1.66,32.69,-73.90
28@Lekinka,29@Lekinka,7.44,161.99,13.40
29@Lekinka,28@Lekinka,7.44,342.39,-13.30
29@Lekinka,-,3.08,266.39,-9.30
29@Lekinka,-,0.70,281.99,51.10
29@Lekinka,-,0.97,28.99,74.00
29@Lekinka,-,1.53,67.19,47.70
29@Lekinka,-,0.50,67.69,12.90
29@Lekinka,-,0.46,82.59,-9.20
29@Lekinka,-,0.79,166.99,88.40
29@Lekinka,30@Lekinka,5.01,198.99,22.70
30@Lekinka,29@Lekinka,5.00,16.39,-22.60
30@Lekinka,-,2.54,331.19,3.90
30@Lekinka,-,2.37,350.29,-2.00
30@Lekinka,-,5.39,21.39,-12.70
30@Lekinka,-,4.37,36.49,-10.60
30@Lekinka,-,3.33,54.69,-11.90
30@Lekinka,-,1.66,87.59,-7.80
